name_ko,name_en,name_scientific,ins_number,cas_number,aliases,usage_condition,is_allowed,law_source
5'-리보뉴클레오티드이나트륨,Disodium 5'-Ribonucleotide,,,,,,True,식품첨가물공전
5'-리보뉴클레오티드칼슘,Calcium 5'-Ribonucleotide,,,,,,True,식품첨가물공전
D-리보오스,D-Ribose,,,,,,True,식품첨가물공전
마리골드색소,Tagetes Extract,,,,,,True,식품첨가물공전
만니톨,D-Mannitol,,,,,,True,식품첨가물공전
말톨,Maltol,,,,,,True,식품첨가물공전
D-말티톨,D-Maltitol; Hydrogenated Maltose,,,,,,True,식품첨가물공전
말티톨시럽,Maltitol Syrup,,,,,,True,식품첨가물공전
91 말티톨액('26.1.1. 시행),Maltitol Syrup,,,,,,True,식품첨가물공전
메타인산나트륨,Sodium Metaphosphate,,,,,,True,식품첨가물공전
메타인산칼륨,Potassium Metaphosphate,,,,,,True,식품첨가물공전
메타중아황산나트륨,Sodium Metabisulfite,,,,,,True,식품첨가물공전
메타중아황산칼륨,Potassium Metabisulfite,,,,,,True,식품첨가물공전
64	니신,Nisin,,,,,,True,식품첨가물공전
65	담마검,Dammar Gum,,,,,,True,식품첨가물공전
66	데칸산에틸,Ethyl Decanoate,,,,,,True,식품첨가물공전
67	데칸알,Decanal,,,,,,True,식품첨가물공전
68	데칸올,Decanol,,,,,,True,식품첨가물공전
69	데히드로초산나트륨,Sodium Dehydroacetate,,,,,,True,식품첨가물공전
70	덱스트란,Dextran,,,,,,True,식품첨가물공전
71	동클로로필,Copper Chlorophyll,,,,,,True,식품첨가물공전
72	동클로로필린나트륨,Sodium Copper Chlorophyllin,,,,,,True,식품첨가물공전
73	동클로로필린칼륨,Potassium Copper Chlorophyllin,,,,,,True,식품첨가물공전
74	디부틸히드록시톨루엔,Butylated Hydroxy Toluene,,,,,,True,식품첨가물공전
75	라우린산,Lauric Acid,,,,,,True,식품첨가물공전
76	라우릴황산나트륨,Sodium Lauryl Sulfate,,,,,,True,식품첨가물공전
77	락색소,Lac Color,,,,,,True,식품첨가물공전
78	락티톨,Lactitol,,,,,,True,식품첨가물공전
79	레시틴,Lecithin,,,,,,True,식품첨가물공전
80	로진,Rosin,,,,,,True,식품첨가물공전
81	로커스트콩검,Locust Bean Gum,,,,,,True,식품첨가물공전
82	루틴,Rutin,,,,,,True,식품첨가물공전
83	리나롤,Linalool,,,,,,True,식품첨가물공전
84	5'-리보뉴클레오티드이나트륨,Disodium 5'-Ribonucleotide,,,,,,True,식품첨가물공전
85	5'-리보뉴클레오티드칼슘,Calcium 5'-Ribonucleotide,,,,,,True,식품첨가물공전
86	D-리보오스,D-Ribose,,,,,,True,식품첨가물공전
87	마리골드색소,Tagetes Extract,,,,,,True,식품첨가물공전
88	만니톨,D-Mannitol,,,,,,True,식품첨가물공전
89	말톨,Maltol,,,,,,True,식품첨가물공전
90	D-말티톨,D-Maltitol; Hydrogenated Maltose,,,,,,True,식품첨가물공전
91	말티톨시럽,Maltitol Syrup,,,,,,True,식품첨가물공전
92	메타인산나트륨,Sodium Metaphosphate,,,,,,True,식품첨가물공전
93	메타인산칼륨,Potassium Metaphosphate,,,,,,True,식품첨가물공전
94	메타중아황산나트륨,Sodium Metabisulfite,,,,,,True,식품첨가물공전
95	메타중아황산칼륨,Potassium Metabisulfite,,,,,,True,식품첨가물공전
메틸β-나프틸케톤,Methyl β-Naphthyl Ketone,,,,,,True,식품첨가물공전
메틸셀룰로스,Methyl Cellulose,,,,,,True,식품첨가물공전
N-메틸안트라닐산메틸,Methyl N-Methylanthranilate,,,,,,True,식품첨가물공전
메틸에틸셀룰로스,Methyl ethyl cellulose,,,,,,True,식품첨가물공전
dl-멘톨,dl-Menthol,,,,,,True,식품첨가물공전
l-멘톨,l-Menthol,,,,,,True,식품첨가물공전
몰식자산,Gallic Acid,,,,,,True,식품첨가물공전
몰식자산프로필,Propyl Gallate,,,,,,True,식품첨가물공전
몰포린지방산염,Morpholine Salts of Fatty Acids,,,,,,True,식품첨가물공전
무궁화색소,Hibiscus Color,,,,,,True,식품첨가물공전
무수아황산,Sulfur Dioxide,,,,,,True,식품첨가물공전
미리스트산,Myristic Acid,,,,,,True,식품첨가물공전
미세섬유상셀룰로스,Microfibrillated Cellulose,,,,,,True,식품첨가물공전
밀납,Beeswax,,,,,,True,식품첨가물공전
바닐린,Vanillin,,,,,,True,식품첨가물공전
베리류색소,Berries Color,,,,,,True,식품첨가물공전
베타인,Betaine,,,,,,True,식품첨가물공전
벤즈알데히드,Benzaldehyde,,,,,,True,식품첨가물공전
벤질알콜,Benzyl Alcohol,,,,,,True,식품첨가물공전
변성전분,Food Starch Modified,,,,,,True,식품첨가물공전
변성호프추출물,Modified Hop Extract,,,,,,True,식품첨가물공전
봉선화추출물,Garden Balsam Extract,,,,,,True,식품첨가물공전
부틸히드록시아니솔,Butylated Hydroxy Anisole,,,,,,True,식품첨가물공전
분말셀룰로스,"Cellulose, Powdered",,,,,,True,식품첨가물공전
비타민B2,Riboflavin,,,,,,True,식품첨가물공전
비타민C,L-Ascorbic Acid,,,,,,True,식품첨가물공전
비타민E,dl-α-Tocopherol,,,,,,True,식품첨가물공전
비트레드,Beet Red,,,,,,True,식품첨가물공전
빙초산,Glacial Acetic Acid,,,,,,True,식품첨가물공전
DL-사과산,DL-Malic Acid,,,,,,True,식품첨가물공전
DL-사과산나트륨,Sodium DL-Malate,,,,,,True,식품첨가물공전
사일리움씨드검,Psyllium Seed Gum,,,,,,True,식품첨가물공전
96	메틸β-나프틸케톤,Methyl β-Naphthyl Ketone,,,,,,True,식품첨가물공전
97	메틸셀룰로스,Methyl Cellulose,,,,,,True,식품첨가물공전
98	N-메틸안트라닐산메틸,Methyl N-Methylanthranilate,,,,,,True,식품첨가물공전
99	메틸에틸셀룰로스,Methyl ethyl cellulose,,,,,,True,식품첨가물공전
100	dl-멘톨,dl-Menthol,,,,,,True,식품첨가물공전
101	l-멘톨,l-Menthol,,,,,,True,식품첨가물공전
102	몰식자산,Gallic Acid,,,,,,True,식품첨가물공전
103	몰식자산프로필,Propyl Gallate,,,,,,True,식품첨가물공전
104	몰포린지방산염,Morpholine Salts of Fatty Acids,,,,,,True,식품첨가물공전
105	무궁화색소,Hibiscus Color,,,,,,True,식품첨가물공전
106	무수아황산,Sulfur Dioxide,,,,,,True,식품첨가물공전
107	미리스트산,Myristic Acid,,,,,,True,식품첨가물공전
108	미세섬유상셀룰로스,Microfibrillated Cellulose,,,,,,True,식품첨가물공전
109	밀납,Beeswax,,,,,,True,식품첨가물공전
110	바닐린,Vanillin,,,,,,True,식품첨가물공전
111	베리류색소,Berries Color,,,,,,True,식품첨가물공전
112	베타인,Betaine,,,,,,True,식품첨가물공전
113	벤즈알데히드,Benzaldehyde,,,,,,True,식품첨가물공전
114	벤질알콜,Benzyl Alcohol,,,,,,True,식품첨가물공전
115	변성전분,Food Starch Modified,,,,,,True,식품첨가물공전
116	변성호프추출물,Modified Hop Extract,,,,,,True,식품첨가물공전
117	봉선화추출물,Garden Balsam Extract,,,,,,True,식품첨가물공전
118	부틸히드록시아니솔,Butylated Hydroxy Anisole,,,,,,True,식품첨가물공전
119	분말셀룰로스,"Cellulose, Powdered",,,,,,True,식품첨가물공전
120	비타민B2,Riboflavin,,,,,,True,식품첨가물공전
121	비타민C,L-Ascorbic Acid,,,,,,True,식품첨가물공전
122	비타민E,dl-α-Tocopherol,,,,,,True,식품첨가물공전
123	비트레드,Beet Red,,,,,,True,식품첨가물공전
124	빙초산,Glacial Acetic Acid,,,,,,True,식품첨가물공전
125	DL-사과산,DL-Malic Acid,,,,,,True,식품첨가물공전
126	DL-사과산나트륨,Sodium DL-Malate,,,,,,True,식품첨가물공전
127	사일리움씨드검,Psyllium Seed Gum,,,,,,True,식품첨가물공전
사카린나트륨,Sodium Saccharin,,,,,,True,식품첨가물공전
사프란색소,Saffron Color,,,,,,True,식품첨가물공전
산성아황산나트륨,Sodium Bisulfite,,,,,,True,식품첨가물공전
산성알루미늄인산나트륨,"Sodium Aluminium Phosphate, Acidic",,,,,,True,식품첨가물공전
산성피로인산나트륨,Disodium Dihydrogen Pyrophosphate,,,,,,True,식품첨가물공전
산성피로인산칼슘,Calcium Dihydrogen Pyrophosphate,,,,,,True,식품첨가물공전
산소,Oxygen,,,,,,True,식품첨가물공전
산화마그네슘,Magnesium Oxide,,,,,,True,식품첨가물공전
산화철,Iron Oxides,,,,,,True,식품첨가물공전
산화칼슘,Calcium Oxide,,,,,,True,식품첨가물공전
